GP,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PLAYER_NAME,SEASON_START_YEAR
37.47525,11.667735,1.1500654,2.006092,-0.05225396,-0.05235219,0.43992305,0.7259667,1.1494124,2.3174071,3.4544542,0.5678179,0.20422235,0.7112416,0.6186722,1.6252394,2.4625616,Bismack Biyombo,2025
54.109684,18.137478,2.4246557,5.632136,0.4594096,1.4580551,1.0899026,1.4501979,0.3853776,1.6541686,2.002182,3.035095,0.6963259,0.16672328,1.2655066,1.6404389,6.425864,Blake Wesley,2025
16.76466,6.7600174,0.8251488,1.9130526,0.07268658,0.2025671,0.5556358,0.7350776,0.5072691,1.087768,1.5481539,0.28818846,0.111780465,0.11438778,0.3327347,0.88099134,2.433072,Boban Marjanović,2025
62.24363,24.859135,4.7292333,10.261965,1.2171309,3.3032196,1.0573442,1.3893778,1.6455489,5.221586,6.8453197,1.4877957,0.6042421,0.33699802,1.0179994,1.9918003,12.218359,Bobby Portis,2025
65.346634,30.266834,5.551606,12.256578,2.766893,7.110111,1.5088091,1.9134669,0.58947265,2.631103,3.1946583,3.0848684,0.98706466,0.30989462,1.3751864,2.043697,15.183095,Bogdan Bogdanović,2025
53.691658,23.882761,4.059783,9.414013,1.8732011,4.7653017,1.8248681,2.0866098,0.30266935,2.1058202,2.397905,1.5281,0.43026632,0.06411028,1.1999477,1.3752654,11.448468,Bojan Bogdanović,2025
44.102238,13.670568,2.092012,4.2950215,0.55746114,1.5417724,0.60151774,0.934402,0.8138329,2.6631382,3.4997985,0.6086236,0.30502164,0.6395754,0.6035386,1.246172,5.3646297,Bol Bol,2025
44.05147,16.463871,2.8737564,6.9766364,1.380444,3.9498067,0.84644806,1.0052625,0.20025837,1.5345776,1.7626932,2.6382551,0.59823334,0.10597491,1.097122,1.3822105,7.868425,Bones Hyland,2025
58.431736,32.9135,6.6854515,14.43515,1.8112493,4.9277062,2.4068623,2.8447404,0.80375814,3.2713318,3.9505155,4.372238,0.890919,0.45008826,2.2034044,2.2084427,17.487337,Bradley Beal,2025
68.294785,28.70991,4.386236,10.134076,1.3948356,3.9385214,1.2619579,1.7391033,1.3018847,4.185537,5.505791,3.6345131,0.9334269,0.25257283,1.494891,1.8466749,11.348326,Brandin Podziemski,2025
36.571167,13.5624485,2.219193,5.355254,0.67604816,2.0275888,0.9148009,1.2791529,0.49350512,1.5117196,1.9951037,0.94981,0.42861545,0.20259106,0.68542194,1.1865075,6.144515,Brandon Boston,2025
42.837536,17.82392,3.5547543,6.691116,0.27088833,0.6553745,0.7308377,1.149869,1.5623846,2.858376,4.4747305,1.1168566,0.5775996,0.7151468,0.58489007,1.4524218,8.16026,Brandon Clarke,2025
60.192364,34.87077,7.993596,16.605751,1.6140501,4.5142055,4.120217,4.977708,0.7403023,4.766132,5.456214,5.25842,0.8077551,0.561617,2.6401029,2.2790627,21.643818,Brandon Ingram,2025
68.49097,33.18975,6.37761,14.56005,2.385889,6.4289684,2.4908452,2.844246,0.77374625,3.5349977,4.4687076,2.8698874,0.9555434,0.4095659,1.8382596,2.3598924,17.3906,Brandon Miller,2025
29.550531,12.963232,1.8709495,4.631885,0.5792707,1.7784271,0.91585916,1.2663429,0.3549145,1.1479452,1.5490506,1.4261851,0.42425138,0.1244649,0.81472266,0.9726705,5.139514,Brandon Williams,2025
23.03051,10.748321,1.4620929,3.067389,0.27598608,0.8559639,0.5492799,0.79498565,0.5137751,1.30016,1.8343462,0.781904,0.3594643,0.2441346,0.555165,1.0694685,3.6870456,Braxton Key,2025
47.0971,17.941795,2.8170195,6.904012,1.1692852,3.3841472,1.1175799,1.3336647,0.41992342,2.253228,2.6481671,1.8055614,0.5176062,0.19677198,1.0680088,1.3846507,7.978549,Brice Sensabaugh,2025
66.708176,24.494223,3.739706,8.1109085,1.5056753,4.2329845,0.9920517,1.5390837,1.2355407,3.2296946,4.552191,1.2135818,0.47013038,1.7156065,0.9260984,2.302607,10.624247,Brook Lopez,2025
63.82984,25.644815,3.5737433,8.237399,0.88683796,2.5385609,1.3705211,1.7691333,0.80956525,3.1137528,3.9632928,2.57721,0.8834434,0.34107628,1.2341967,2.1106884,9.419183,Bruce Brown,2025
46.551147,14.153807,2.065968,4.1900234,0.032800585,0.089098334,1.0388141,1.6294361,1.3258933,2.6483645,3.889741,0.82137024,0.41214433,0.5972574,0.8755673,2.0364451,5.3818417,Bruno Fernando,2025
52.175438,17.47325,2.3568058,5.7410946,0.80921483,2.3644345,1.2514143,1.6612414,0.46781105,1.8678002,2.3081043,1.3087573,0.477836,0.20668839,0.8021577,1.3729622,6.8697834,Bryce McGowens,2025
25.984758,11.494903,1.500344,4.0055175,0.87141037,2.6490157,0.45723224,0.6339412,0.31221074,1.2699294,1.4757004,0.81888664,0.33370948,0.13005564,0.40985197,0.9053639,4.386901,Buddy Boeheim,2025
58.99945,25.422697,3.836825,8.745825,2.2598093,5.618909,0.33925247,0.5602385,0.6249964,2.1930292,3.0119224,2.345065,0.7433196,0.33424598,1.0894527,1.7531613,10.188911,Buddy Hield,2025
63.974052,33.062233,6.957788,15.119108,3.0693285,7.8499937,1.783925,2.1649685,0.65362227,3.2578416,3.9855645,4.1772757,0.8816581,0.5173931,1.745623,1.9536169,18.591518,CJ McCollum,2025
62.274357,34.777985,8.593789,18.72396,2.2071192,6.104204,3.7893224,4.7720323,0.7831099,4.0663147,4.8197784,6.765345,1.0289183,0.46435204,3.2975829,2.3738081,23.062572,Cade Cunningham,2025
51.51021,16.328762,2.0700765,5.3164973,1.2532234,3.4925632,0.54508686,0.8040496,0.47677797,1.6866535,2.130657,0.8563652,0.41899043,0.14609766,0.49437708,1.2651451,5.920173,Caleb Houstan,2025
64.45062,25.84044,3.451042,7.8568726,1.2690039,3.4510508,1.0913095,1.4595424,0.9605648,3.072472,4.0688396,1.8819517,0.8687735,0.40920624,1.0642487,1.8595024,9.343675,Caleb Martin,2025
43.53229,17.860884,2.3197773,5.6600976,0.94437945,2.8038526,0.98672664,1.2586107,0.4507252,1.6286361,2.1230922,1.1998168,0.79666513,0.2460884,0.67913187,1.3316553,6.4837084,Cam Reddish,2025
62.883377,30.901669,7.18577,16.119678,2.1517594,5.760414,4.2766075,4.9640455,0.3710674,2.8266726,3.088501,2.9969535,0.75081974,0.14537159,1.9947414,1.8706415,20.842766,Cam Thomas,2025
59.78743,24.799574,4.7969093,11.080061,1.7726154,4.8761353,2.023401,2.4405837,0.8092715,3.2452378,4.101262,1.5188465,0.7367202,0.3433758,1.2091718,1.7210453,13.466215,Cam Whitmore,2025
60.344673,27.272324,4.565404,9.97315,2.2233334,5.880817,1.3997155,1.8406243,0.8442915,3.2649632,4.041069,2.3027816,0.8414415,0.28370643,0.97363114,1.7279727,12.688194,Cameron Johnson,2025
52.204697,17.362783,2.3707175,5.740649,1.144355,3.105926,0.46776307,0.6525222,0.25061685,1.3424572,1.5894871,2.6387088,0.5241685,0.15177572,0.981284,1.4395916,6.1958213,Cameron Payne,2025
60.386288,29.945988,4.9260015,11.249321,1.7365623,4.7445617,1.9552896,2.3467102,0.6345581,3.1528647,3.7437475,4.352434,1.0017133,0.3993584,1.6957837,1.8883927,13.417866,Caris LeVert,2025
69.430336,24.260246,3.1411963,7.7163534,1.3902383,3.9212847,0.85264367,1.0667636,0.61753994,2.2982578,2.8539999,1.9474462,0.9209852,0.40681732,0.9359746,1.7431556,8.42568,Cason Wallace,2025
56.018845,19.063885,2.5443363,6.0156198,1.2699637,3.3561776,0.6504841,0.8800436,0.3346483,1.9648666,2.3020906,1.57005,0.5301443,0.15176553,0.7570051,1.4616524,6.773917,Cedi Osman,2025
36.710815,11.89583,1.4975754,2.7046814,0.009970397,-0.01599741,0.3919345,0.86969066,1.4157857,2.749641,4.2153926,0.7344034,0.35333827,0.858819,0.6826439,1.6830646,3.624896,Charles Bassey,2025
20.605545,10.357441,1.1596749,2.907288,0.40437177,1.2494582,0.48717475,0.68527853,0.42010397,1.1319617,1.6008521,0.7061819,0.32592538,0.18684298,0.5002698,1.0616232,3.1734223,Charlie Brown Jr.,2025
63.80715,34.509525,6.6561017,13.833231,1.5393169,4.0462475,3.3836446,4.399276,1.9089129,6.6408644,8.552494,2.8641543,0.87056345,1.8658133,2.0440443,2.8924968,18.45654,Chet Holmgren,2025
44.417183,15.368041,2.0145535,4.3684177,0.536071,1.6191581,0.8769938,1.0500368,0.72589445,2.5174768,3.2553687,0.91123545,0.5305716,0.28955323,0.69714826,1.378552,5.185413,Chimezie Metu,2025
54.09132,16.125305,2.1861682,4.6362224,0.7020359,1.8683826,1.1038495,1.5264645,1.3122987,2.7179263,4.1328106,0.5030469,0.35033086,0.5294091,0.47922283,1.5101811,6.4314184,Chris Boucher,2025
43.84118,14.621618,1.876399,4.7643023,0.9786217,2.65086,0.56940776,0.74059784,0.40751266,1.5108935,1.961681,1.0333817,0.4715213,0.13238013,0.59145325,1.1968625,5.5318418,Chris Duarte,2025
34.159897,11.163221,1.5249693,3.3630664,0.2369419,0.7360984,0.6559566,0.9449996,0.6385944,1.4941593,2.1459603,0.79193985,0.34424117,0.22887434,0.6741367,1.2609706,3.8033423,Chris Livingston,2025
60.586754,24.286377,2.8892558,6.7287846,1.1705179,3.1469183,1.0127459,1.0935872,0.34850734,2.7077696,2.7678647,5.027654,1.0762913,0.20898366,1.3693925,1.6844637,7.674914,Chris Paul,2025
67.84451,23.401667,3.249452,7.260547,0.9250531,2.5141857,1.3403009,1.766914,1.033213,3.0163379,4.020331,1.6165923,0.66347677,0.4465548,0.94883776,1.7723993,8.801923,Christian Braun,2025
49.363323,19.211184,3.0340486,6.2181554,0.9160162,2.5159469,1.599486,2.015018,1.0823067,4.2687097,5.2824836,0.95959634,0.32986945,0.67951685,0.91093534,1.6221908,8.861779,Christian Wood,2025
38.89894,13.900748,1.7278805,3.9134614,0.83739984,2.4407053,0.39859688,0.65604746,0.5158,1.9307877,2.4287205,0.934297,0.52132785,0.29328215,0.4439544,0.9031458,4.486188,Chuma Okeke,2025
62.31916,26.084433,4.356787,8.3168,0.017861068,0.10065365,1.3644488,2.206954,3.5399294,6.3871307,9.959095,1.2511268,0.5881351,1.2279809,0.99426806,2.128465,10.2851925,Clint Capela,2025
64.40744,33.419487,6.644932,14.950378,2.6697643,6.9325185,2.6027548,3.0723844,0.47738034,3.410667,3.9408622,4.679489,0.76821226,0.19714576,2.0583062,2.1199803,18.778687,Coby White,2025
42.5691,19.262163,2.0972264,4.9585576,0.76511455,2.4059336,0.5527344,0.6506779,0.576139,2.2044802,2.7154326,2.0894136,0.7839432,0.3461589,0.8556868,1.406378,5.5839243,Cody Martin,2025
27.402185,8.968457,0.9269748,2.0578022,0.017284513,0.06363475,0.5885836,0.93652785,0.9887434,1.7516966,2.6885943,0.4421028,0.22758946,0.19437884,0.44763005,1.3397253,2.467905,Cody Zeller,2025
36.05432,11.531188,1.5349151,3.535209,0.25117302,0.77810264,0.6233928,0.9182837,0.6983011,1.446051,2.132465,0.8536123,0.37664422,0.25532624,0.6525662,1.3196938,3.95754,Colby Jones,2025
62.519897,27.817907,4.924648,11.022254,1.5056684,4.082905,2.438446,2.9866557,0.81583786,3.5302262,4.2529473,3.4563217,0.77369815,0.4292791,1.7730641,2.2027135,13.958517,Cole Anthony,2025
24.768461,11.104164,1.414096,3.6838233,0.6924087,2.1108558,0.41027856,0.5545809,0.2505877,1.1543244,1.3979611,1.0373672,0.34135526,0.13654456,0.5537464,0.85944295,4.0110373,Cole Swider,2025
29.479534,10.214424,1.3437208,3.0675902,0.15165383,0.46590388,0.64832574,0.95253646,0.6521557,1.2089807,1.8965328,0.716444,0.3151803,0.19832328,0.62434065,1.2373767,3.510531,Colin Castleton,2025
32.110817,12.725585,1.6144655,4.124222,0.6476933,1.8582709,0.6532742,0.7889267,0.28472894,1.1122236,1.430615,1.4373713,0.45962852,0.092470944,0.71454865,1.0936971,4.6594114,Collin Gillespie,2025
60.809345,31.55027,6.338786,14.55178,1.7030239,4.6589556,3.8075929,4.542588,0.703367,1.9907827,2.6867502,4.1834764,0.83226985,0.17824481,2.310422,2.082488,18.46653,Collin Sexton,2025
67.01666,26.818386,4.625057,10.404184,2.1852183,5.6038847,1.4858402,1.9121487,0.4312017,2.450973,2.9841514,2.0250306,0.5610912,0.17862956,1.146116,1.5995226,13.030926,Corey Kispert,2025
34.1109,12.803041,1.3124424,3.5009992,0.56807894,1.7272396,0.42018425,0.5668801,0.23847628,1.0850059,1.3300772,1.6593485,0.40494415,0.108557135,0.63219684,1.0745769,3.5600028,Cory Joseph,2025
48.673893,16.450771,2.4826794,5.483485,0.3633861,1.0772219,1.091172,1.4113011,0.6165575,1.7663157,2.3340373,2.1389635,0.5896196,0.25862822,1.031116,1.3187811,6.4773035,Craig Porter Jr.,2025
59.900345,32.003338,6.32294,14.075575,2.7630363,7.1682177,2.070547,2.49637,0.43733943,2.6489537,3.038008,5.5291443,0.89708054,0.36240295,2.1258173,1.9459485,17.439238,D'Angelo Russell,2025
24.756489,11.121334,1.3621781,3.6172256,0.56573915,1.6864145,0.5504309,0.6553546,0.32722098,1.1094406,1.4369397,1.1050603,0.3517544,0.14079064,0.601305,1.004117,3.9104104,D'Moi Hodge,2025
28.221272,11.754593,1.5169023,3.676189,0.37414503,1.147353,0.73733646,0.9962058,0.5548229,1.2685322,1.8057468,0.9374454,0.37803808,0.14966327,0.6383073,1.180057,4.12417,D.J. Carton,2025
21.207083,10.295101,1.439386,3.199466,0.60550654,1.6685545,0.38252747,0.57525265,0.44880694,1.5185071,1.8857877,0.6924617,0.3323281,0.3970821,0.30702132,0.9265238,4.0622845,D.J. Wilson,2025
23.319407,10.647111,1.380272,3.1649275,0.41319597,1.2591474,0.5166409,0.68576336,0.39655524,1.2333053,1.6664191,0.85538626,0.3123381,0.18215923,0.5039898,0.95040995,3.3607244,DaQuan Jeffries,2025
34.331238,13.335697,1.7476584,4.472522,0.7273936,2.24007,0.7039976,0.9414239,0.26545805,1.2522314,1.587873,1.772873,0.52599263,0.087150335,0.84711236,0.9313069,4.6653147,Daishen Nix,2025
52.60915,19.337053,3.3645408,7.8061,1.0725418,3.1218662,1.5163882,1.8587308,0.60630524,2.3108115,2.9617229,2.189581,0.66599685,0.29183826,1.1927595,1.4036536,9.13372,Dalano Banton,2025
50.964542,15.885815,1.9607077,4.6437917,0.5228511,1.5754181,0.81634134,1.1504322,0.6642909,1.9617791,2.5930781,1.509184,0.57434946,0.34190658,0.80088687,1.5275258,5.360156,Dalen Terry,2025
